,disease_id,v_count,p_count,k_count
195,OMIM:109720,1,1,0
196,OMIM:109730,7,0,2
197,OMIM:109740,7,0,0
198,OMIM:109800,4,1,1
199,OMIM:109820,6,2,0
200,OMIM:109900,3,1,1
201,OMIM:110000,2,0,0
202,OMIM:110050,5,1,0
203,OMIM:110100,21,4,2
204,OMIM:110150,5,1,0
205,OMIM:112200,11,5,1
206,OMIM:112240,16,0,1
207,OMIM:112250,20,5,4
208,OMIM:112270,2,0,0
209,OMIM:112300,4,1,0
210,OMIM:112310,9,0,1
211,OMIM:112350,12,1,0
212,OMIM:112370,6,1,0
213,OMIM:112410,7,1,0
214,OMIM:112440,9,0,3
215,OMIM:112450,8,0,0
216,OMIM:112500,21,0,1
217,OMIM:112600,15,0,0
218,OMIM:112700,7,1,0
219,OMIM:112800,8,1,0
220,OMIM:112910,19,0,2
221,OMIM:113000,20,0,3
222,OMIM:113100,35,1,1
223,OMIM:113200,4,0,0
224,OMIM:113300,9,0,1
225,OMIM:113301,5,0,2
226,OMIM:113310,7,0,0
227,OMIM:113400,7,1,0
228,OMIM:113450,14,0,0
229,OMIM:113475,2,0,1
230,OMIM:113477,12,0,1
231,OMIM:113500,13,2,1
232,OMIM:113600,2,0,0
233,OMIM:113610,8,1,0
234,OMIM:113620,71,10,5
235,OMIM:113650,33,1,12
236,OMIM:113670,1,0,0
237,OMIM:113700,7,0,0
238,OMIM:113750,7,3,0
239,OMIM:113800,6,3,2
240,OMIM:113900,10,1,5
241,OMIM:113950,3,0,1
242,OMIM:113970,2,0,2
243,OMIM:114000,8,1,0
244,OMIM:114030,2,2,0
245,OMIM:114065,3,1,1
246,OMIM:114100,19,2,4
247,OMIM:114140,2,0,0
248,OMIM:114150,8,0,0
249,OMIM:114200,5,1,0
250,OMIM:114290,88,3,10
251,OMIM:114300,35,2,1
252,OMIM:114450,2,0,1
253,OMIM:114480,3,0,0
254,OMIM:114500,7,2,2
255,OMIM:114550,4,1,2
256,OMIM:114580,4,3,1
257,OMIM:114600,2,0,0
258,OMIM:114620,31,3,1
259,OMIM:114650,2,1,0
260,OMIM:114700,4,0,0
261,OMIM:114900,2,1,1
262,OMIM:115000,7,0,2
263,OMIM:115080,4,0,2
264,OMIM:115150,83,12,12
265,OMIM:115195,9,1,2
266,OMIM:115196,3,0,2
267,OMIM:115197,29,4,15
268,OMIM:115200,12,1,6
269,OMIM:115210,6,0,2
270,OMIM:115250,8,2,3
271,OMIM:115300,3,0,0
272,OMIM:115310,19,5,8
273,OMIM:115400,2,0,0
274,OMIM:115430,5,0,0
275,OMIM:115470,38,5,7
276,OMIM:115650,1,1,1
277,OMIM:115660,2,2,2
278,OMIM:115665,3,2,2
279,OMIM:115700,2,1,1
280,OMIM:115800,1,1,0
281,OMIM:115900,4,3,1
282,OMIM:116100,2,1,0
283,OMIM:116200,4,2,3
284,OMIM:116300,5,2,1
285,OMIM:116400,1,0,1
286,OMIM:116600,5,3,2
287,OMIM:116700,2,1,1
288,OMIM:116800,4,2,2
289,OMIM:116860,8,1,2
290,OMIM:116870,3,0,0
291,OMIM:116920,10,10,6
292,OMIM:117000,23,3,3
293,OMIM:117100,5,0,0
294,OMIM:117210,10,1,2
295,OMIM:117300,10,1,2
296,OMIM:117360,25,1,2
297,OMIM:117550,74,9,12
298,OMIM:117650,38,2,6
299,OMIM:117850,4,0,2
300,OMIM:117900,3,0,0
301,OMIM:118000,2,0,0
302,OMIM:118005,3,0,1
303,OMIM:118100,21,2,4
304,OMIM:118200,25,3,2
305,OMIM:118210,21,3,1
306,OMIM:118220,27,2,3
307,OMIM:118300,17,2,0
308,OMIM:118301,29,4,3
309,OMIM:118350,2,1,2
310,OMIM:118400,16,4,2
311,OMIM:118420,26,3,2
312,OMIM:118450,52,15,11
313,OMIM:118600,5,1,1
314,OMIM:118610,7,2,1
315,OMIM:118650,13,2,1
316,OMIM:118651,13,0,2
317,OMIM:118700,8,0,0
318,OMIM:118750,8,0,1
319,OMIM:118800,10,0,1
320,OMIM:118830,4,1,1
321,OMIM:118865,3,0,0
322,OMIM:118900,2,4,0
323,OMIM:119100,11,0,1
324,OMIM:119300,7,1,0
325,OMIM:119500,20,1,3
326,OMIM:119530,4,1,0
327,OMIM:119540,6,2,1
328,OMIM:119550,2,1,0
329,OMIM:119570,2,0,0
330,OMIM:119580,17,1,0
331,OMIM:119600,48,5,5
332,OMIM:119650,5,0,0
333,OMIM:119800,18,0,1
334,OMIM:119900,3,0,0
335,OMIM:119915,8,2,1
336,OMIM:120000,4,0,0
337,OMIM:120040,4,0,1
338,OMIM:120050,0,0,1
339,OMIM:120100,12,9,2
340,OMIM:120200,13,2,1
341,OMIM:120300,2,0,0
342,OMIM:120330,34,14,10
343,OMIM:120400,7,0,0
344,OMIM:120430,3,0,0
345,OMIM:120433,6,4,0
346,OMIM:120435,2,0,0
347,OMIM:120440,3,3,0
348,OMIM:120450,2,0,0
349,OMIM:120500,2,1,0
350,OMIM:120502,4,1,1
351,OMIM:120790,2,0,0
352,OMIM:120970,9,8,3
353,OMIM:121050,44,1,4
354,OMIM:121070,10,0,2
355,OMIM:121200,8,1,0
356,OMIM:121201,4,0,0
357,OMIM:121210,6,1,0
358,OMIM:121270,4,4,1
359,OMIM:121300,19,9,1
360,OMIM:121350,2,0,0
361,OMIM:121390,1,2,1
362,OMIM:121400,3,0,0
363,OMIM:121800,3,1,0
364,OMIM:121820,7,4,0
365,OMIM:121850,3,1,0
366,OMIM:121900,5,1,0
367,OMIM:122000,10,5,3
368,OMIM:122100,5,4,2
369,OMIM:122200,2,2,1
370,OMIM:122400,3,3,1
371,OMIM:122430,17,4,1
372,OMIM:122440,10,4,1
373,OMIM:122450,3,1,0
374,OMIM:122455,3,0,0
375,OMIM:122460,1,0,1
376,OMIM:122470,79,13,7
377,OMIM:122580,4,0,0
378,OMIM:122600,17,0,0
379,OMIM:122700,2,1,0
380,OMIM:122750,2,0,0
381,OMIM:122780,6,0,1
382,OMIM:122850,6,0,2
383,OMIM:122860,21,2,6
384,OMIM:122880,9,0,0
385,OMIM:122900,13,0,0
386,OMIM:123000,16,0,1
387,OMIM:123050,7,1,0
388,OMIM:123100,16,1,0
389,OMIM:123150,10,0,0
390,OMIM:123155,5,0,1
391,OMIM:123320,12,3,1
392,OMIM:123400,19,5,1
393,OMIM:123450,62,7,7
394,OMIM:123500,21,4,1
395,OMIM:123540,2,2,0
396,OMIM:123550,7,5,2
397,OMIM:123557,3,0,0
398,OMIM:123560,7,1,0
399,OMIM:123570,4,1,1
400,OMIM:123700,19,4,3
401,OMIM:123790,38,4,0
402,OMIM:123880,3,0,0
403,OMIM:124000,36,12,6
404,OMIM:124100,1,1,0
405,OMIM:124200,11,2,4
406,OMIM:124300,2,0,0
407,OMIM:124480,18,1,0
408,OMIM:124500,6,0,2
409,OMIM:124700,4,0,0
410,OMIM:124900,9,4,1
411,OMIM:124950,7,1,3
412,OMIM:125000,2,0,0
413,OMIM:125050,3,0,0
414,OMIM:125230,7,1,1
415,OMIM:125250,24,6,0
416,OMIM:125310,26,5,2
417,OMIM:125320,4,0,0
418,OMIM:125350,4,0,0
419,OMIM:125370,16,3,2
420,OMIM:125400,7,0,1
421,OMIM:125420,4,0,1
422,OMIM:125440,4,0,0
423,OMIM:125460,2,1,0
424,OMIM:125480,2,1,0
425,OMIM:125490,2,0,0
426,OMIM:125500,6,0,0
427,OMIM:125520,6,0,1
428,OMIM:125530,2,0,0
